id,nom,pays,naissance,sexe,id,titre,annee,nbSpectateurs,idRealisateur,idGenre
23968,Phil Alden Robinson,USA,1950-03-01,M,4614,La Somme de toutes les peurs,2002,24125000,23968,53
35585,José Giovanni,,,,4680,Deux hommes dans la ville,1973,,35585,80
9740,René Clément,France,1913-03-18,M,4708,Paris brûle-t-il?,1966,,9740,10752
3776,Jean-Luc Godard,France,1930-12-03,M,4710,Masculin féminin,1966,,3776,18
39138,Jean Girault,France,1924-05-09,M,4727,Le Gendarme de Saint-Tropez,1964,,39138,35
39138,Jean Girault,France,1924-05-09,M,4728,Le Gendarme à New-York,1965,,39138,35
39138,Jean Girault,France,1924-05-09,M,4729,Le Gendarme se marie,1968,,39138,35
16862,Claude Lelouch,France,1937-10-30,M,4735,Le bon et les méchants,1976,,16862,18
24397,Jean-Pierre Mocky,France,1933-07-06,M,4765,L'ibis rouge,1975,,24397,35
957,Matthew Vaughn,UK,1971-03-07,M,4836,Layer Cake,2004,1481276,957,18
7832,Oliver Hirschbiegel,Germany,1957-12-29,M,4858,Invasion,2007,1883939,7832,878
4065,Fred Zinnemann,Hungary [now now Poland],1907-04-29,M,4909,Chacal,1973,,4065,28
29504,Basil Dearden,England,1911-01-01,M,4910,La seconde mort d'Harold Pelham,1970,,29504,53
608,Hayao Miyazaki,Japan,1941-01-05,M,4935,Le Château ambulant,2004,29506219,608,14
27436,Costa-Gavras,Greece,1933-02-12,M,4948,Clair de femme,1979,,27436,18
578,Ridley Scott,UK,1937-11-30,M,4982,American Gangster,2007,33308129,578,18
34262,Bertrand Blier,France,1939-03-14,M,5070,Combien tu m'aimes ?,2005,,34262,35
41518,Véra Belmont,,,,5144,Marquise,1997,,41518,18
24,Robert Zemeckis,USA,1951-05-14,M,5255,Le Pôle Express,2004,38829256,24,12
42994,David Dobkin,USA,1969-06-23,M,5375,Frère Noël,2007,12229793,42994,28
3831,Jean-Pierre Melville,France,1917-10-20,M,5511,Le Samouraï,1967,4935,3831,80
10491,Paul Verhoeven,Netherlands,1938-07-18,M,5548,RoboCop,1987,6678085,10491,28
793,Luis Buñuel,España,1900-02-22,M,5558,Le fantôme de la liberté,1974,,793,35
793,Luis Buñuel,España,1900-02-22,M,5781,Cet obscur objet du désir,1977,,793,35
2228,Sean Penn,USA,1960-08-17,M,5915,Into the Wild,2007,7031892,2228,12
17016,Neil Jordan,Ireland,1950-02-25,M,6016,L'Homme de la Riviera,2003,,17016,80
1776,Francis Ford Coppola,USA,1939-04-07,M,6114,Dracula,1992,26982836,1776,10749
47974,Bob Spiers,UK,1945-09-27,M,6116,"Spice World, le film",1997,12500000,47974,12
48583,Anne Fontaine,Luxembourg,1959-07-15,F,6187,Nettoyage à sec,1997,,48583,18
22007,Brad Mirman,,1953-06-28,M,6277,Wanted : Ils vont braquer l'Amérique,2003,,22007,35
