id,nom,pays,naissance,sexe
1233,Philip Seymour Hoffman,USA,1967-07-23,M
1236,Mark Pellegrino,USA,1965-04-09,M
1237,Flea,Australia,1962-10-16,M
1240,Jack Kehler,USA,1946-05-22,M
1241,John Turturro,USA,1957-02-28,M
1243,Woody Allen,USA,1935-12-01,M
1245,Scarlett Johansson,USA,1984-11-22,F
1246,Emily Mortimer,UK,1971-12-01,F
1248,Brian Cox,UK,1946-06-01,M
1255,David Mamet,USA,1947-11-30,M
1269,Kevin Costner,USA,1955-01-18,M
1270,Charles Martin Smith,USA,1953-10-30,M
1271,Andy García,Cuba,1956-04-12,M
1276,Patricia Clarkson,USA,1959-12-29,F
1280,Don Harvey,USA,1960-05-31,M
1281,Freddie Highmore,UK,1992-02-14,M
1283,Helena Bonham Carter,UK,1966-05-26,F
1284,Noah Taylor,England,1969-09-04,M
1292,James Fox,UK,1939-05-19,M
1294,Missi Pyle,USA,1972-11-16,F
1320,Alan Lee,UK,1947-08-20,M
1327,Ian McKellen,UK,1939-05-25,M
1328,Sean Astin,USA,1971-02-25,M
1329,Billy Boyd,UK,1968-08-28,M
1330,Dominic Monaghan,Germany,1976-12-08,M
1331,Hugo Weaving,Nigeria,1960-04-04,M
1332,Craig Parker,Fiji,1970-11-12,M
1333,Andy Serkis,UK,1964-04-20,M
1336,Jet Li,China,1963-04-26,M
1341,Donnie Yen,China,1963-07-27,M
1352,Jean-Louis Trintignant,France,1930-12-11,M
1356,Jean-Pierre Lorit,,,M
1365,Lawrence Makoare,New Zealand,1968-03-20,M
1366,Sala Baker,New Zealand,1976-09-22,M
1367,Alan Howard,UK,1937-08-05,M
1369,Bernard Hill,United Kingdom,1944-12-17,M
1370,Brad Dourif,USA,1950-03-18,M
1371,David Wenham,Australia,1965-09-21,M
1372,Karl Urban,New Zealand,1972-06-07,M
1381,John Noble,Australia,1948-08-20,M
1382,Paul Norell,UK,1952-02-11,M
1383,Thomas Robins,,,M
1461,George Clooney,USA,1961-05-06,M
1462,Tim Blake Nelson,USA,1964-05-11,M
1466,Charles Durning,USA,1923-02-28,M
1472,Ray McKinnon,USA,1957-11-15,M
1473,Daniel von Bargen,USA,1950-06-05,M
1479,Frank Collison,USA,1950-02-14,M
1532,Bill Murray,USA,1950-09-21,M
1534,Chris Elliott,USA,1960-05-31,M
1579,Maggie Gyllenhaal,USA,1977-11-16,F
1581,Mary McDonnell,USA,1952-04-28,F
1598,David St. James,USA,1947-09-04,M
1614,Ang Lee,Taiwan,1954-10-23,M
1620,Michelle Yeoh,Malaysia,1962-08-06,F
1640,Stellan Skarsgård,Sweden,1951-06-13,M
1642,Jean-Marc Barr,Germany,1960-09-27,M
1643,Adrian Rawlins,UK,1958-03-27,M
1646,Udo Kier,Germany,1944-10-14,M
1650,François Truffaut,France,1932-02-06,M
1653,Jean-Pierre Léaud,France,1944-05-28,M
1654,Claire Maurier,France,1929-03-27,F
1662,Pierre Repp,France,1900-11-05,M
1665,Eddie Marsan,England,1968-06-23,M
1666,Julie Christie,India,1941-04-14,F
1670,Daniel Mays,UK,1978-03-31,M
1711,Mackenzie Crook,UK,1971-09-29,M
1715,David Bailie,South Africa,1937-12-04,M
1724,Roger Spottiswoode,Canada,1945-01-05,M
1733,Nick Nolte,USA,1941-02-08,M
1736,James Remar,USA,1953-12-31,M
1737,David Patrick Kelly,USA,1951-01-23,M
1739,James Keane,USA,1952-09-26,M
1743,Denise Crosby,USA,1957-11-24,F
1769,Sofia Coppola,USA,1971-05-14,F
1771,Giovanni Ribisi,USA,1974-12-17,M
1776,Francis Ford Coppola,USA,1939-04-07,M
1810,Heath Ledger,Australia,1979-04-04,M
1811,Randy Quaid,USA,1950-10-01,M
1812,Michelle Williams,USA,1980-09-09,F
1813,Anne Hathaway,USA,1982-11-12,F
1817,Linda Cardellini,USA,1975-06-25,F
1834,Shirley Henderson,Scotland,1965-11-24,F
1844,Til Schweiger,Germany,1963-12-19,M
1884,Steven Soderbergh,USA,1963-01-14,M
1892,Matt Damon,USA,1970-10-08,M
1893,Casey Affleck,USA,1975-08-12,M
1894,Scott Caan,USA,1976-08-23,M
1895,Carl Reiner,U.S.,1922-03-20,M
1896,Don Cheadle,USA,1964-11-29,M
1897,Bernie Mac,USA,1957-10-05,M
1898,Eddie Jemison,,1963-01-01,M
1900,Shaobo Qin,,1982-01-01,M
1906,Scott L. Schwartz,USA,1959-03-16,M
1920,Winona Ryder,USA,1971-10-29,F
1922,Catherine Zeta-Jones,UK,1969-09-25,F
1923,Robbie Coltrane,UK,1950-03-30,M
1925,Vincent Cassel,France,1966-11-23,M
1926,Eddie Izzard,Yemen,1962-02-07,M
1927,Blake Edwards,USA,1922-07-26,M
1942,José Luis de Villalonga,Spain,1920-01-29,M
1957,Sophie Marceau,France,1966-11-17,F
1958,Claude Brasseur,France,1936-06-15,M
1959,Brigitte Fossey,France,1946-06-15,F
1960,Alexandre Sterling,,1966-02-13,
1961,Claude Pinoteau,,1925-05-25,M
1963,Danièle Thompson,Monaco,1942-01-03,F
1969,Denise Grey,Italy,1896-09-17,F
1970,Sheila O'Connor,,1966-05-04,F
1972,Dominique Lavanant,France,1944-04-24,F
1973,Bernard Giraudeau,France,1947-06-18,M
1976,Evelyne Bellego,,,
1977,Richard Bohringer,France,1942-01-16,M
1978,Iain Softley,UK,1956-11-30,M
1979,Kevin Spacey,USA,1959-07-26,M
1980,Mary McCormack,U.S.,1969-02-08,F
1981,Alfre Woodard,USA,1952-11-08,F
1983,Vincent Laresca,USA,1974-01-21,M
1984,Kimberly Scott,USA,1961-12-11,F
1986,Peter Gerety,USA,1940-05-17,M
