id,nom,id,titre,annee,nbSpectateurs,idRealisateur,idGenre
18,Drame,1024,Créatures célestes,1994,381141,108,18
18,Drame,1116,Le vent se lève,2006,2861127,15488,18
18,Drame,1245,Les Vestiges du jour,1993,2904738,54441,18
80,Crime,1248,Hannibal Lecter : Les origines du mal,2007,10271235,16785,80
28,Action,1251,Lettres d'Iwo Jima,2006,8584153,190,28
10751,Familial,1268,Les Vacances de Mr. Bean,2007,28717043,16356,10751
18,Drame,1366,Rocky,1976,14654393,16513,18
18,Drame,1372,Blood Diamond,2006,21359739,9181,18
80,Crime,1376,Sweet Sixteen,2002,,15488,80
28,Action,1386,C'était un rendez-vous,1976,,16862,28
18,Drame,1402,À la recherche du bonheur,2006,38384661,20646,18
18,Drame,1404,Just a kiss,2004,,15488,18
10402,Musique,1407,La Môme,2007,,16919,10402
18,Drame,1422,Les Infiltrés,2006,36230919,1032,18
80,Crime,1429,La 25ème heure,2002,3000000,5281,80
18,Drame,1443,Virgin suicides,1999,1301172,1769,18
878,Science-Fiction,1452,Superman Returns,2006,48885149,9032,878
18,Drame,1551,L'Expérience interdite,1990,7686158,5572,18
18,Drame,1555,L'Auberge espagnole,2002,487224,17520,18
10749,Romance,1587,Gilbert Grape,1993,1254095,5306,10749
35,Comédie,1599,J'adore Huckabees,2004,,17883,35
18,Drame,1626,Vivre sa vie : film en douze tableaux,1962,3064,3776,18
35,Comédie,1629,La Chinoise,1967,3857,3776,35
18,Drame,1631,Une vraie jeune fille,1976,,6295,18
28,Action,1669,À la poursuite d'Octobre rouge,1990,24900000,1090,28
18,Drame,1713,Jungle Fever,1991,4060335,5281,18
28,Action,1729,Le Royaume interdit,2008,15988328,18898,28
18,Drame,1730,Inland Empire,2006,106131,5602,18
12,Aventure,1735,La Momie : La Tombe de l'empereur Dragon,2008,50141079,18878,12
80,Crime,1830,Lord of War,2005,9077133,8685,80
14,Fantastique,1832,Dogma,1999,3831611,19303,14
10749,Romance,1844,Haute voltige,1999,26550549,15148,10749
35,Comédie,1870,Fantômas se déchaîne,1965,,19639,35
35,Comédie,1871,Fantômas,1964,,19639,35
35,Comédie,1875,Fantômas contre Scotland Yard,1967,,19639,35
12,Aventure,1878,Las Vegas Parano,1998,1335034,280,12
18,Drame,1883,Malcolm X,1992,6021238,5281,18
18,Drame,1887,Marie-Antoinette,2006,7559292,1769,18
18,Drame,1907,La Plage,2000,18007109,2034,18
18,Drame,1923,"Twin Peaks, le feu marche avec moi",1992,520106,5602,18
18,Drame,1926,11 Septembre 2001,2002,,223,18
878,Science-Fiction,1954,L'Effet papillon,2004,12007607,20218,878
18,Drame,1955,Elephant Man,1980,3251358,5602,18
10752,Guerre,1966,Alexandre,2004,20912274,1152,10752
18,Drame,1986,"Va, vis et deviens",2005,,20430,18
28,Action,1991,Boulevard de la mort,2007,3129737,138,28
12,Aventure,1995,"Lara Croft, Tomb Raider",2001,34337917,12786,12
18,Drame,2002,Une Vieille maîtresse,2007,,6295,18
18,Drame,2003,Anatomie de l'enfer,2004,,6295,18
16,Animation,2011,Persepolis,2007,,20709,16
18,Drame,2013,Le scaphandre et le papillon,2007,2472205,7482,18
37,Western,2023,Hidalgo,2004,13512931,4945,37
35,Comédie,2029,Tanguy,2001,,20849,35
28,Action,2034,Training Day,2001,13109529,20907,28
28,Action,2048,"I, Robot",2004,43404364,21085,28
35,Comédie,2084,Nadia,2001,,21339,35
28,Action,2085,Roméo doit mourir,2000,11379595,10765,28
18,Drame,2110,Wasabi,2001,,21647,18
80,Crime,2118,L.A. Confidential,1997,15777117,323,80
28,Action,2140,Le Baiser mortel du dragon,2001,8054730,21931,28
10752,Guerre,2143,Carla's Song,1996,,15488,10752
99,Documentaire,2147,Les Dockers de Liverpool,1996,,15488,99
53,Thriller,2252,Les Promesses de l'ombre,2007,7013325,224,53
35,Comédie,2255,Méprise multiple,1997,1502659,19303,35
53,Thriller,2263,Music Box,1989,782985,27436,53
18,Drame,2266,"Paris, je t'aime",2006,607170,90,18
12,Aventure,2268,À la croisée des mondes : La Boussole d'or,2007,46529358,3288,12
18,Drame,2288,Closer : Entre adultes consentants,2004,14438128,5342,18
10749,Romance,2293,Les Glandeurs,1995,265320,19303,10749
35,Comédie,2294,Jay & Bob contre-attaquent,2001,4223520,19303,35
12,Aventure,2310,La Légende de Beowulf,2007,24466984,24,12
35,Comédie,2377,Bonsoir,1994,,24397,35
53,Thriller,2385,Agent Trouble,1987,,24397,53
14,Fantastique,2395,Astérix aux Jeux Olympiques,2008,16612500,24886,14
35,Comédie,2459,Un éléphant ça trompe énormément,1976,,25182,35
35,Comédie,2462,Hibernatus,1969,,24380,35
28,Action,2501,La Mémoire dans la peau,2002,26754278,11694,28
28,Action,2502,La Mort dans la peau,2004,36062527,25598,28
28,Action,2503,La Vengeance dans la peau,2007,55353017,25598,28
18,Drame,2567,Aviator,2004,12750000,1032,18
35,Comédie,2594,Monsieur Batignole,2002,,21171,35
18,Drame,2655,Apparences,2000,36427543,24,18
18,Drame,2721,Z,1969,10413,27436,18
18,Drame,2786,Pierrot le fou,1965,,3776,18
35,Comédie,2798,Oscar,1967,,24380,35
18,Drame,2841,Un long dimanche de fiançailles,2004,,2419,18
18,Drame,2860,Le Genou de Claire,1970,,28615,18
10749,Romance,2882,"Ensemble, c'est tout",2007,,20718,10749
10751,Familial,2899,Astérix et Obélix : Mission Cléopâtre,2002,13890944,4275,10751
35,Comédie,2976,Hairspray,2007,11306251,20739,35
35,Comédie,2984,La comtesse de Hong-Kong,1967,250000,13848,35
80,Crime,3009,Le procès,1962,,40,80
18,Drame,3082,Les temps modernes,1936,1062500,13848,18
18,Drame,3131,Gangs of New York,2002,24221563,1032,18
35,Comédie,3525,Working girl,1988,12896704,5342,35
80,Crime,3580,L'échange,2008,14127531,190,80
18,Drame,3586,Prêt à porter,1994,1412581,9789,18
80,Crime,3934,Tenue de soirée,1986,,34262,80
35,Comédie,4031,Les Valseuses,1974,,34262,35
80,Crime,4147,Les Sentiers de la perdition,2002,22625184,39,80
35,Comédie,4180,3 Hommes et un couffin,1985,256558,35208,35
