id,titre,annee,nbSpectateurs,idRealisateur,idGenre
8488,"Hitch, expert en séduction",2005,46012552,17167,35
8656,Deep Impact,1998,43683083,51984,28
8698,La Ligue des Gentlemen Extraordinaires,2003,22408150,10808,14
8736,Dikkenek,2006,,56225,35
8772,Le Dernier jour,2004,,55968,18
8834,Complots,1997,17122854,7187,28
8840,Cœur de dragon,1996,14408421,18878,14
8871,Le Grinch,2000,43142675,6159,10751
8892,Un conte de Noël,2008,919549,38883,18
8960,Hancock,2008,78003671,36602,14
8961,Bad Boys II,2003,34167444,865,12
8999,Dérapage,2005,7184884,29605,18
9023,"Spirit, l'étalon des plaines",2002,15320442,12079,37
9037,Grease 2,1982,1896434,56755,35
9045,Amen.,2002,,27436,18
9075,Black book,2006,3274133,10491,18
9103,Le Grand Tournoi,1996,7175068,15111,28
9289,Le Jour le plus long,1962,6262500,9894,18
9298,Ali G,2002,3237500,57199,35
9313,L'Homme au masque de fer,1998,22871112,2460,28
9317,La soupe aux choux,1981,,39138,35
9322,Nikita,1990,625000,59,28
9342,Le Masque de Zorro,1998,31286065,10702,28
9381,Babylon A.D.,2008,9013576,2406,28
9406,Le Loup-garou de Paris,1997,3321307,58384,27
9421,Le Dîner de cons,1998,9824938,38507,35
9443,Les Chariots de Feu,1981,7371613,58220,18
9460,Black Mask,1996,,57832,28
9487,1001 pattes,1998,45407357,7879,12
9499,Le divorce,2003,1623999,54441,35
9509,Man on Fire,2004,16286714,893,28
9531,Superman III,1983,9481328,10586,35
9557,Boat Trip,2002,1073297,57962,35
9597,Vidocq,2001,,4586,14
9619,Le Pic de Dante,1997,22265970,21370,28
9620,Paycheck,2003,11928439,11401,28
9631,Négociateur,1998,5568460,37932,28
9667,The Jacket,2005,2640778,40307,53
9686,New York Stories,1989,,1776,35
9716,Tout le monde dit I love you,1996,,1243,10402
9718,Ricky Bobby : roi du circuit,2006,20370772,55710,35
9737,Bad Boys,1995,17675878,865,28
9770,Mad City,1997,1317690,27436,28
9800,Philadelphia,1993,25834805,16294,18
9802,Rock,1996,41882827,865,28
9837,Le prince d'Égypte,1998,27326648,21879,12
9906,"Lucas, fourmi malgré lui",2006,6897641,60237,14
9944,L'affaire Pélican,1993,24408507,6349,18
9986,Le Petit monde de Charlotte,2006,18000000,17046,35
9992,Arthur et les Minimoys,2006,13493029,59,12
10015,Le Maître de guerre,1986,5340502,190,28
10022,Baby-Sittor,2005,24829608,20739,35
10027,Danny the Dog,2005,6358889,18865,28
10047,Jeanne d'Arc,1999,8372039,59,12
10051,Fauteuils d'orchestre,2006,,1963,35
10086,C'est arrivé près de chez vous,1992,,63174,35
10098,Le Kid,1921,312500,13848,35
10184,Ce que pensent les hommes,2009,22358269,29009,35
10193,Toy Story 3,2010,133371212,8,16
10195,Thor,2011,56165827,11181,12
10209,Marrakech Express,1998,,33405,10749
10210,Le Songe d'une nuit d'été,1999,,52405,14
10260,Les Ripoux,1984,,11201,35
10279,Summer of Sam,1999,2411016,5281,53
10353,Les Couloirs du Temps : Les Visiteurs 2,1998,,64909,35
10354,Jugé coupable,1999,,190,80
10386,Le géant de fer,1999,2894913,7087,12
10395,Wolf,1994,16375324,5342,14
10396,Tequila Sunrise,1988,,11057,28
10400,Hurricane Carter,1999,9244530,13563,18
10401,La Fille sur le pont,1999,,37626,18
10431,Rogue : L'ultime affrontement,2007,5056580,65190,28
10452,La Reine Margot,1994,,23724,18
10484,Les compères,1983,,38507,35
10515,Le Château dans le ciel,1986,,608,12
10516,Le Gendarme et les Extra-terrestres,1979,,39138,35
10527,Madagascar 2,2008,75487544,18863,10751
10540,Outland... Loin de la Terre,1981,2171824,37710,878
